day,hour,SensorID,reading,belief,disbelief,uncertainity,atomicity,expectation
2017-06-01,10,1286,5.82102228477862,0.572108415049924,0.427251514564432,6.400703856440041E-4,0.5,0.57242845025
2017-06-01,11,1286,4.821293591135858,0.5720276289404344,0.4273323910567842,6.399800027814286E-4,0.5,0.57234761894
2017-06-01,12,1286,3.6242406071579762,0.5720704333076906,0.4272896506981906,6.399159941188882E-4,0.5,0.5723903913
2017-06-01,13,1286,3.4202701915510527,0.5721178269278974,0.42724232794930916,6.398451227934413E-4,0.5,0.57243774949
2017-06-01,14,1286,4.312584124915918,0.5721201534504463,0.4272400049057884,6.398416437653356E-4,0.5,0.57244007427
2017-06-01,15,1286,4.079478298251208,0.5720175167077919,0.4273427564342299,6.397268579782337E-4,0.5,0.57233738014
2017-06-01,16,1286,4.405396183998639,0.5719450402621263,0.42741531393533083,6.396458025428513E-4,0.5,0.57226486316
2017-06-01,17,1286,4.908112779553113,0.5718074340284695,0.4275530740635817,6.394919079488497E-4,0.5,0.57212717998
2017-06-01,18,1286,5.654994769420657,0.5717180862771108,0.42764252173872686,6.393919841622968E-4,0.5,0.57203778227
2017-06-01,19,1286,5.441457262141653,0.5719861102233067,0.42737489793168526,6.389918450079917E-4,0.5,0.57230560615
2017-06-01,20,1286,6.294939466311191,0.5721877027504058,0.42717360636673707,6.386908828572122E-4,0.5,0.57250704819
2017-06-01,21,1286,5.623241220268356,0.5720912664538639,0.427270150307996,6.385832381401346E-4,0.5,0.57241055807
2017-06-01,22,1286,11.560855909405362,0.5708196266399389,0.4285432095595487,6.37163800512363E-4,0.5,0.57113820854
2017-06-01,23,1286,6.105384166088255,0.570623362181195,0.428739693093816,6.369447249890232E-4,0.5,0.57094183454
2017-06-02,0,1286,6.682261042385522,0.5704537358952334,0.4289095087210756,6.367553836910264E-4,0.5,0.57077211359
2017-06-02,1,1286,7.8983045468760045,0.57022412638814,0.4291393745243076,6.364990875523764E-4,0.5,0.57054237594
2017-06-02,2,1286,10.85844502049313,0.5696837122216851,0.4296803919151929,6.358958631219623E-4,0.5,0.57000166015
2017-06-02,3,1286,12.067971036059987,0.5691121977982349,0.4302525442779941,6.352579237710736E-4,0.5,0.56942982676
2017-06-02,4,1286,12.760445467139386,0.5684598753177027,0.43090559489794444,6.345297843528442E-4,0.5,0.56877714021
2017-06-02,5,1286,10.313216272166825,0.56843058312276,0.4309349197896015,6.344970876385337E-4,0.5,0.56874783167
2017-06-02,6,1286,7.73947980476733,0.5684332109887733,0.43093229578709946,6.34493224127203E-4,0.5,0.5687504576
2017-06-02,7,1286,9.56177835565416,0.568388238632396,0.43097731834225983,6.344430253442276E-4,0.5,0.56870546015
2017-06-02,8,1286,9.97966060429616,0.568506180464174,0.4308595498777976,6.342696580283537E-4,0.5,0.56882331529
2017-06-02,9,1286,12.146919519722505,0.5683749899618202,0.43099088674646713,6.341232917126937E-4,0.5,0.56869205161
2017-06-02,10,1286,7.303709883712827,0.5679840648426014,0.431382248012117,6.336871452815693E-4,0.5,0.56830090841
2017-06-02,11,1286,5.607456086608445,0.5678943827208859,0.4314720301901743,6.33587088939833E-4,0.5,0.56821117627
2017-06-02,12,1286,6.974879088153224,0.5678132237698634,0.43155327968842716,6.334965417094247E-4,0.5,0.56812997204
2017-06-02,13,1286,5.987679357839704,0.5676613870770842,0.43170528578201584,6.333271408998741E-4,0.5,0.56797805065
2017-06-02,14,1286,5.919470736692277,0.5676271407516312,0.43173957031532995,6.332889330388512E-4,0.5,0.56794378522
2017-06-02,15,1286,4.704515805495305,0.5675962743995598,0.43177047110430145,6.332544961386985E-4,0.5,0.56791290165
2017-06-02,16,1286,4.008714604157946,0.567548915594244,0.43181788274677946,6.332016589765275E-4,0.5,0.56786551642
2017-06-02,17,1286,5.004882090921617,0.5673625045154918,0.4320045018002121,6.329936842961532E-4,0.5,0.56767900136
2017-06-02,18,1286,5.6552333559257635,0.5673967780945057,0.4319702783670114,6.32943538482902E-4,0.5,0.56771324986
2017-06-02,19,1286,9.281347519863393,0.5670842765093576,0.4322831285545251,6.325949361172885E-4,0.5,0.56740057398
2017-06-02,20,1286,11.374785550312348,0.566551828220665,0.4328161708009505,6.320009783845075E-4,0.5,0.56686782871
2017-06-02,21,1286,15.507169569810427,0.5661422552014734,0.43322620070781936,6.315440907072373E-4,0.5,0.56645802725
2017-06-02,22,1286,21.457639276289626,0.5651855499247725,0.4341839732102192,6.304768650082231E-4,0.5,0.56550078836
2017-06-02,23,1286,35.578534347645274,0.5629774340552598,0.4363945522813676,6.280136633726353E-4,0.5,0.56329144089
2017-06-03,0,1286,32.06884426731846,0.5609676287631572,0.43840659955531136,6.257716815314321E-4,0.5,0.5612805146
2017-06-03,1,1286,23.637796135793447,0.5599711733152983,0.4394041665710562,6.246601136455051E-4,0.5,0.56028350338
2017-06-03,2,1286,31.59430256224348,0.5584151875381272,0.4409618880844557,6.229243774170774E-4,0.5,0.55872664973
2017-06-03,3,1286,38.401441680218376,0.5565457424888959,0.4428334185406019,6.208389705023015E-4,0.5,0.55685616198
2017-06-03,4,1286,17.750175582820116,0.5568983694594862,0.44248128525016384,6.203452903499869E-4,0.5,0.55720854211
2017-06-03,5,1286,15.773519977952178,0.5570549655241198,0.44232490842108363,6.201260547965896E-4,0.5,0.55736502855
2017-06-03,6,1286,8.96920378008449,0.557186425620881,0.44219363236935016,6.199420097688262E-4,0.5,0.55749639662
